1001,1064
1001,1071
1002,1007
1010,1002
1022,1003
1055,1003
1003,3133
1025,1005
1005,1061
1067,1005
1007,1015
1031,1007
1008,1032
1008,1069
1010,1015
1010,1030
1012,1087
3050,1012
1013,1031
1047,1013
1086,1013
1014,1047
1014,1083
1016,1034
1068,1016
1018,1017
1017,1029
1037,1017
1047,1017
1024,1018
1019,1040
1019,1045
1019,1071
1071,1019
1019,1084
1025,1020
1084,1020
1020,3058
1020,3130
1022,1028
1024,1090
1027,1045
1056,1027
1028,3109
1029,1056
1030,1038
1083,1030
1032,1036
1038,1032
1032,1071
1032,3050
1067,1034
1088,1036
1037,1071
1082,1038
1083,1038
1040,1090
1065,1041
1041,1067
1044,3018
3130,1044
1045,1064
1087,1046
1046,3009
1047,1085
1047,1071
1054,1056
1089,1054
1055,1089
1056,1061
1056,1065
1069,1058
1058,1087
1061,3041
1088,1068
1082,1069
3046,1071
1071,3058
1084,3130
1085,1086
1090,1085
2029,1091
1091,2048
2096,1091
2021,2001
2027,2001
2021,2002
2002,2101
2038,2002
2002,2047
2007,2113
2007,2122
2014,2008
2008,2052
2009,2049
2009,2082
2109,2009
2061,2010
2010,2079
2010,2091
2127,2011
2011,2041
2011,2052
2093,2011
2011,2123
2014,2029
2015,2037
5014,2015
2043,2016
2069,2016
2017,2096
2017,2127
2017,2093
2045,2020
2054,2020
2113,2021
2021,2040
2064,2021
2025,2054
2067,2025
2058,2026
2127,2026
2027,2090
2028,2045
2028,2109
2112,2028
2030,2106
2122,2030
2031,2048
2031,2087
2032,2113
2122,2032
2129,2033
2033,5288
2034,2043
2046,2034
2035,2066
2035,2091
2036,2054
2036,2082
2037,2065
2110,2037
2081,2038
2039,2086
5285,2039
2039,5455
2040,2113
2121,2040
2041,2058
2065,2044
2044,2101
2063,2046
2092,2047
2079,2048
2049,2061
2090,2050
2050,5268
2080,2051
2051,2112
5285,2053
2053,5361
2127,2054
2054,5236
2123,2058
2060,2064
5136,2060
2092,2063
2126,2065
2073,2066
2068,2067
2068,2088
2069,2072
2069,5074
2088,2070
2070,5236
2072,2101
2087,2073
2073,3078
3115,2073
2077,2110
2077,2133
2086,2080
2133,2080
2081,2129
2090,2121
2096,3096
2101,5083
2101,2107
2124,2106
2106,2129
2107,2125
2130,2108
5472,2108
2111,5187
2111,5472
5049,2113
2113,8126
5450,2124
2125,5078
2125,5215
2126,5220
2127,5164
2129,5141
3021,2130
3001,6177
6285,3001
3001,3107
3003,3103
3141,3003
3005,3052
3126,3005
3006,3049
3145,3006
3007,3013
3007,3137
3007,3145
3008,3036
3140,3008
3143,3008
3009,3024
3146,3009
3010,3076
3093,3010
3011,3012
3011,3124
3012,6226
3013,3077
3014,3124
6210,3014
3015,3121
3015,3127
3015,3128
3016,3082
3016,3103
3016,3131
3139,3016
3018,3050
3018,3058
3024,3018
3114,3018
3049,3021
5394,3021
3033,3022
3085,3022
3049,3023
3023,3067
3023,3115
3035,3025
3025,3036
3025,3101
3026,5394
3026,3102
3147,3029
3029,5239
3030,3072
3114,3030
3053,3031
3031,3070
3031,3140
3032,3094
3099,3032
3133,3033
3035,3066
3036,3066
3078,3037
3037,3088
3037,3078
3085,3037
3072,3040
3139,3040
3041,3046
3041,3058
3041,3064
3111,3041
3046,3078
3082,3046
3046,3064
3129,3046
3046,5045
3046,5120
3046,5394
4014,3050
3052,3093
3052,3107
3058,3053
3082,3053
3053,3088
3058,3111
3064,3141
3066,3142
3067,3070
3067,3094
3067,3141
3069,3077
3069,3140
3070,3131
3142,3072
3073,3076
3123,3073
3073,4002
3132,3075
3075,3138
3077,3099
3077,3131
3078,3133
3133,3078
3137,3082
3085,3128
5394,3088
3088,5334
3102,3088
3088,3125
3137,3094
3133,3096
3109,3096
3099,3100
3100,3102
3125,3100
3104,3101
6359,3101
6156,3104
3108,3147
3108,6065
3116,3115
3116,3133
4002,3119
4188,3119
3121,3129
3121,3145
3126,3123
6285,3124
3126,6059
3141,3127
3132,3144
3138,3142
3138,3146
3144,3143
4003,4039
4103,4003
4128,4003
4014,4004
4113,4004
4022,4004
4113,4004
4006,4011
4006,4195
4007,4027
4007,4034
4007,4122
4008,6112
6155,4008
4008,6346
4151,4009
4165,4009
4011,4185
4034,4012
4012,4103
4012,4121
4012,4171
4013,4089
4107,4013
4013,4122
4014,4131
4188,4014
4016,4023
4117,4016
4080,4017
4017,4087
4017,4123
4018,4037
4149,4018
4019,4067
4019,4121
4051,4020
4020,4123
4150,4020
4089,4021
4021,4167
4187,4022
6112,4023
4131,4024
6263,4024
4024,4117
4027,4088
4028,7042
4028,7274
4028,6253
7274,4028
4031,4043
4146,4031
4051,4032
4140,4032
4033,4101
4033,4146
4033,4190
4034,4154
4064,4035
4035,4150
4131,4036
4036,4189
4037,4054
4099,4037
4054,4038
4038,4125
4038,4178
4073,4039
4039,4151
4073,4039
4079,4039
4073,4041
4088,4041
4107,4041
4043,4119
4044,4119
4185,4044
4048,4154
4048,4155
4086,4049
4049,4194
4127,4051
4053,4151
4053,4191
4055,4078
4055,4109
4055,4145
4056,4158
4056,4181
4108,4056
4056,4145
4069,4064
4064,4099
4064,4104
4066,4068
4066,4107
4111,4067
4194,4067
4068,4103
4068,4186
4069,4072
4070,4183
4070,4192
4106,4070
4072,4156
4072,4168
4146,4073
4073,4183
4192,4073
4155,4073
4120,4078
4078,4180
4079,4157
4140,4080
4080,4151
4080,4181
4183,4080
4086,4106
4110,4086
4156,4087
4089,4194
4169,4099
4100,4120
4150,4100
4168,4100
4175,4101
4195,4101
4126,4102
4102,4171
4145,4104
4170,4108
4109,4156
4110,4171
4186,4111
4124,4112
4112,4140
4146,4113
4190,4113
4117,4172
4139,4118
4148,4118
4164,4119
